Date,Investment
2014-10-27,30000
2014-11-24,30000
2014-12-23,30000
2015-01-23,30000
2015-02-23,30000
2015-03-23,30000
2015-04-23,30000
2015-05-25,30000
2015-06-23,30000
2015-07-23,30000
2015-08-24,30000
2015-09-23,30000
2015-10-23,30000
2015-11-23,30000
2015-12-23,30000
2016-01-25,30000
2016-02-23,30000
2016-03-23,30000
2016-04-25,30000
2016-05-23,30000
2016-06-23,30000
2016-07-25,30000
2016-08-23,30000
2016-09-23,30000
2016-10-24,30000
2016-11-23,30000
2016-12-23,30000
2017-01-23,30000
2017-02-23,30000
2017-03-23,30000
2017-04-24,30000
2017-05-23,30000
2017-06-23,30000
2017-07-24,30000
2017-08-23,30000
2017-09-25,30000
2017-10-23,30000
2017-11-23,30000
2017-12-26,30000
2018-01-23,30000
2018-02-23,30000
2018-03-23,30000
2018-04-23,30000
2018-05-23,30000
2018-06-25,30000
2018-07-23,30000
2018-08-23,30000
2018-09-24,30000
2018-10-23,30000
2018-11-26,30000
2018-12-24,30000
2019-01-23,30000
2019-02-25,30000
2019-03-25,30000
2019-04-23,30000
2019-05-23,30000
2019-06-24,30000
2019-07-23,30000
2019-08-23,30000
2019-09-23,30000
2019-10-23,30000
2019-11-25,30000
2019-12-23,30000
2020-01-23,30000
2020-02-24,30000
2020-03-23,30000
2020-04-23,30000
2020-05-26,30000
2020-06-23,30000
2020-07-23,30000
2020-08-24,30000
2020-09-23,30000
2020-10-23,30000
2020-11-23,30000
2020-12-23,30000
2021-01-25,30000
2021-02-23,30000
2021-03-23,30000
2021-04-23,30000
2021-05-24,30000
2021-06-23,30000
2021-07-23,30000
2021-08-23,30000
2021-09-23,30000
2021-10-25,30000
2021-11-23,30000
2021-12-23,30000
2022-01-24,30000
2022-02-23,30000
2022-03-23,30000
2022-04-25,30000
2022-05-23,30000
2022-06-23,30000
2022-07-25,30000
2022-08-23,30000
2022-09-23,30000
2022-10-24,30000
2022-11-23,30000
2022-12-23,30000
2023-01-23,30000
2023-02-23,30000
2023-03-23,30000
2023-04-24,30000
2023-05-23,30000
2023-06-23,30000
2023-07-24,30000
2023-08-23,30000
2023-09-25,30000
2023-10-23,30000
2023-11-23,30000
2023-12-26,30000
2024-01-23,30000
2024-02-23,30000
2024-03-26,30000
2024-04-23,30000
2024-05-23,30000
2024-06-24,30000
2024-07-23,30000
2024-08-23,30000
,30000
